@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
85,27,0,39,96,0.288889,1,0.409091,1,0.590909,0.580645,0.407407,2.454545,0
86,27,0,38,97,0.281481,1,0.415385,1,0.584615,0.586957,0.401235,2.492308,0
87,27,0,37,98,0.274074,1,0.421875,1,0.578125,0.593407,0.395062,2.53125,0
88,27,0,36,99,0.266667,1,0.428571,1,0.571429,0.6,0.388889,2.571429,0
89,27,0,35,100,0.259259,1,0.435484,1,0.564516,0.606742,0.382716,2.612903,0
90,27,0,34,101,0.251852,1,0.442623,1,0.557377,0.613636,0.376543,2.655738,0
91,27,0,33,102,0.244444,1,0.45,1,0.55,0.62069,0.37037,2.7,0
92,27,0,32,103,0.237037,1,0.457627,1,0.542373,0.627907,0.364198,2.745763,0
93,27,0,31,104,0.22963,1,0.465517,1,0.534483,0.635294,0.358025,2.793103,0
94,27,0,30,105,0.222222,1,0.473684,1,0.526316,0.642857,0.351852,2.842105,0
95,27,0,29,106,0.214815,1,0.482143,1,0.517857,0.650602,0.345679,2.892857,0
96,27,0,28,107,0.207407,1,0.490909,1,0.509091,0.658537,0.339506,2.945455,0
97,27,0,27,108,0.2,1,0.5,1,0.5,0.666667,0.333333,3,0
98,27,0,26,109,0.192593,1,0.509434,1,0.490566,0.675,0.32716,3.056604,0
99,27,0,25,110,0.185185,1,0.519231,1,0.480769,0.683544,0.320988,3.115385,0
100,27,0,24,111,0.177778,1,0.529412,1,0.470588,0.692308,0.314815,3.176471,0
101,27,0,23,112,0.17037,1,0.54,1,0.46,0.701299,0.308642,3.24,0
102,27,0,22,113,0.162963,1,0.55102,1,0.44898,0.710526,0.302469,3.306122,0
103,27,0,21,114,0.155556,1,0.5625,1,0.4375,0.72,0.296296,3.375,0
104,27,0,20,115,0.148148,1,0.574468,1,0.425532,0.72973,0.290123,3.446809,0
105,27,0,19,116,0.140741,1,0.586957,1,0.413043,0.739726,0.283951,3.521739,0.000001
106,27,0,18,117,0.133333,1,0.6,1,0.4,0.75,0.277778,3.6,0.000004
107,27,0,17,118,0.125926,1,0.613636,1,0.386364,0.760563,0.271605,3.681818,0.000062
108,27,0,16,119,0.118519,1,0.627907,1,0.372093,0.771429,0.265432,3.767442,0.000074
109,27,0,15,120,0.111111,1,0.642857,1,0.357143,0.782609,0.259259,3.857143,0.000278
110,27,0,14,121,0.103704,1,0.658537,1,0.341463,0.794118,0.253086,3.95122,0.000494
